Titre,ABREVIATION,ADRESSE,CP,ARRDT,Téléphone,latitude,longitude
Fonds Communal d'Art Contemporain,FCAC,4 rue Clovis Hugues,13233 Marseille cedex 20,3ème,04 91 55 11 11 ,43.30798069999999,5.387923099999966
Direction de l'Action Sociale et de la Solidarité,DASS,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service des Droits des Femmes,SDF,2 place François Mireur,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.2987625,5.376141299999972
Service Famille et Séniors,SFS,93 la Canebière,13233 Marseille cedex 20,1er,04 91 55 11 11 ,43.2981887,5.381693600000062
Service de la Solidarité et de la Lutte contre l'Exclusion,Samu Social,10 bd Ferdinand de Lesseps,13233 Marseille cedex 20,3ème,04 91 55 11 11 ,43.319425,5.370032700000024
Service de l'Animation et des Équipements Sociaux,SAES,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Centre Communal d'Action Sociale,CCAS,13 bd des dames,13233 Marseille cedex 20,2ème,04 91 90 85 85,43.30170909999999,5.371694700000035
,,,,,,,
Délégation Générale Ville Durable et Expansion,DGVDE,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Direction des Projets Économiques,DPE,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Pôle Rayonnement Économique,PRE,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service Développement Territorial,SDT,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service Commerce,SC,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service Tourisme Congrès,STC,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service Emploi,SE,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Direction de l'Environnement et de l'Espace Urbain,DEEU,"320,330 avenue du Prado",13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2724273,5.389565299999958
Service Environnement et Stratégie Énergétique,SESE,"320,330 avenue du Prado",13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2724273,5.389565299999958
Service de l'Espace Urbain,SEU,"320,330 avenue du Prado",13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2724273,5.389565299999958
Service Éclairage Public et Illuminations,SEPI,"320,330 avenue du Prado",13233 Marseille cedex 20,10ème,04 91 55 11 11 ,43.2724273,5.389565299999958
Service Espaces Verts Nature,SEVN,48 avenue clôt-bey,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2770228,5.4082213000000365
Direction de la Mer,DM,2 promenade Georges Pompidou,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.25852820000001,5.383890299999962
"Mission Parc national, Partenariats, International",,"320,330 avenue du Prado",13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.2724273,5.389565299999958
Service Mer et Littoral,SML,2 promenade Georges Pompidou,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.268044,5.3697713999999905
Service Nautisme et Plongée,SNP,2 promenade Georges Pompidou,13233 Marseille cedex 20,8ème,04 91 55 11 11 ,43.268044,5.3697713999999905
Direction de la Gestion Urbaine de Proximité,DGUP,40 avenue Roger Salengro,13233 Marseille cedex 20,3ème,04 91 55 11 11 ,43.3103856,5.3732747000000245
Service Prévention et Gestion des Risques,SPGR,40 avenue Roger Salengro,13233 Marseille cedex 20,3ème,04 91 55 11 11 ,43.3103856,5.3732747000000245
Service Mobilité et Logistique Urbaines,SMLU,11 rue des convalescents,13233 Marseille cedex 20,1er,04 91 55 11 11 ,43.3103856,5.3732747000000245
Service Santé Publique et Handicapées,SSPH,23 rue Louis Astruc,13233 Marseille cedex 20,5ème,04 91 55 11 11 ,43.30006709999999,5.379274900000041
Service Espace Public,SEP,33A rue Montgrand,13233 Marseille cedex 20,6ème,04 91 55 11 11 ,43.2941697,5.395994299999984
Délégation Générale Ville Durable et Expansion,DGVDE,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
,,,,,,,
"Délégation Générale Urbanisme, Aménagement et Habitat",DGUAH,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service Projets urbains,SPU,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Direction de l'Aménagement et de l'Habitat,DAH,36 à 40 rue Fauchier,13233 Marseille cedex 20,2ème,04 91 55 11 11 ,43.304155,5.3697314999999435
Service Maison du Logement,,12 rue François Moisson ,13233 Marseille cedex 20,2ème,0 810 813 813,,
